Country,City,Name,screen_name,posts,followers
Bangladesh,Chittagong,Azadi,AzadiRojava,12289,20818
Bangladesh,Comilla,Amod,amodm,1112,4120
Belgium,Brussels,De Morgen,demorgen,172257,66754
Belgium,Brussels,De Standaard,destandaard,88444,288327
Belgium,Brussels,De Tijd,tijd,149821,63163
Belgium,Brussels,Het Nieuwsblad,Nieuwsblad_be,199395,76197
Belgium,Brussels,La Libre Belgique,lalibrebe,169184,197814
Belgium,Brussels,Le Soir,lesoir,136010,342058
Belgium,Brussels,L'Echo,lecho,144178,44631
Belgium,Brussels,Sportwereld,ADSportwereld,90252,21846
Belgium,Mouscron,Nord Eclair,NordEclairWeb,23703,17615
Belgium,Huy,La Meuse,LaMeuse_be,85738,13651
Belgium,Liege,RTC,RTCSNV,14667,9166
Belgium,Arlon,L'Avenir Luxembourg,lavenirAL,2259,1357
Belgium,Namur,L'Avenir,francaisavenir,2902,2952
Belgium,Namur,Sud Presse,sud_presse,49545,3832
Belgium,Leuven,Mix FM,Mixfmlebanon,9416,20975
Burkina Faso,Ouagadougou,L'Independant,lindependant,51613,14952
Burkina Faso,Ouagadougou,L'Observateur Paalga,LObservateurPaa,674,1973
Burkina Faso,Ouagadougou,L'Opinion,lopinion_fr,64745,62239
Bulgaria,Blagoevgrad,Viara,JessicaViara,48847,1288
Bulgaria,Burgas,Faktor,thecfaktor,1323,1680
Bulgaria,Burgas,Kompas,kompascom,876566,6755560
Bulgaria,Sofia,Banker,AmerBanker,40716,58902
Bulgaria,Sofia,Dnevnik,DNEVNIKhr,61188,212914
Bulgaria,Sofia,Fokus,FOKUS,5189,1721
Bulgaria,Sofia,Kapital,iamDasKapital,68638,13295
Bulgaria,Sofia,Monitor,DailyMonitor,95472,427279
Bulgaria,Sofia,Republika,republikaonline,1010104,932404
Bulgaria,Sofia,Sega,SEGA,31417,1713335
Bulgaria,Sofia,Sofia Echo,TheSofiaEcho,12684,941
Bulgaria,Sofia,Standart,kstand40,18778,487
Bulgaria,Sofia,Zaman,amberinzaman,50662,327196
Bulgaria,Veliko Tarnovo,Borba,micheleborba,31885,121334
Bosnia and Herzegovina,Banja Luka,Glas Srpske,GlasSrpske,161092,5516
Bosnia and Herzegovina,Banja Luka,Nes Radio,nesgto,51726,5979
Bolivia,Trinidad,La Palabra,la_palabra,2536,5000
Bolivia,Sucre,Correo del Sur,correodelsurcom,42684,8908
Bolivia,Cochabamba,Los Tiempos,LosTiemposBol,130198,157336
Bolivia,Cochabamba,Opinion,nytopinion,90495,610172
Bolivia,La Paz,El Diario,eldiariopereira,55122,76933
Bolivia,La Paz,Jornada,jornadadelcampo,1963,2877
Bolivia,La Paz,La Prensa,prensacom,224083,410333
Bolivia,La Paz,La Razon,larazon_es,168582,339512
Bolivia,La Paz,Pagina Siete,pagina_siete,123355,242284
Bolivia,Oruru,La Patria,lapatriacom,118184,259921
Bolivia,Potosi,El Potosi,elpotosinet,12041,2916
Bolivia,Santa Cruz de la Sierra,El Deber,diarioeldeber,117689,339956
Bolivia,Santa Cruz de la Sierra,El Mundo,elmundoes,154799,2851489
Bolivia,Santa Cruz de la Sierra,La Estrella del Oriente,laestrellaorien,55596,2339
Bolivia,Tarija,El Nacional,ElNacionalWeb,5110766,4311301
Bolivia,Tarija,El Pais,el_pais,344987,6235319
Bolivia,Tarija,Nuevo Sur,elnuevoherald,158795,376307
Japan,Hiroshima,Chugoku Shimbun,ChugokuShimbun,82818,51030
Japan,Morioka,Iwate Nippo,xiwatenippo,22993,38339
Japan,Sendai,Kahoku Shimpo,kahoku_shimpo,150746,120562
Japan,Suwa,Nagano Nippo,NaganoNippo,10141,421
Japan,Niigata,Niigata Nippo,niigata_nippo,62645,59440
Japan,Tokyo,Daily Sports,NYDNSports,73671,43522
Japan,Tokyo,Japan Times,japantimes,134677,247321
Japan,Tokyo,Nikkei,nikkei,184327,2570075
Japan,Shiminoseki,Yamaguchi Shimbun,yamaguchis21,6288,2039
Benin,Cotonou,Fraternite,FraterniteIrak,2733,4646
Benin,Cotonou,La Nation,LiveNation_LA,7320,17665
Benin,Cotonou,La Nouvelle Tribune,lanouvelleT,24003,50987
Benin,Cotonou,Le Matinal,lematinal,21843,4320
Bhutan,Thimphu,Bhutan Observer,bhutanobserver,3351,8557
Bhutan,Thimphu,Bhutan Times,DummyTimes,9033,3428
Bhutan,Thimphu,Kuensel,KuenselOnline,16969,30914
Jamaica,Kingston,Jamaica Gleaner,JamaicaGleaner,110012,214739
Jamaica,Kingston,Jamaica Observer,JamaicaObserver,137330,197397
