State,Senator,Official Senator Twitter Id,Senate Staff Twitter Id,Campaign/Other ID,Facebook (WIP)
Alabama,Richard Shelby,@SenShelby,,,RichardShelby
Alabama,Luther Strange,@lutherstrange,,,
Alaska,Lisa Murkowski,@lisamurkowski,,@Lisa4Senate,SenLisaMurkowski
Alaska,Dan Sullivan, @SenDanSullivan,,@DanSullivan2014,DanSullivanforAlaska
Arizona,John McCain,@SenJohnMcCain,,@TeamMcCain,johnmccain
Arizona,Jeff Flake,@JeffFlake,,@FlakeforSenate,
Arkansas,Tom Cotton,@SenTomCotton,,@TomCottonAR,
Arkansas,John Boozman,@JohnBoozman,,@Boozman4AR,
California,Dianne Feinstein,@SenFeinstein,,@DianneFeinstein,
California,Kamala Harris,@SenKamalaHarris,,@KamalaHarris,KamalaHarris
Colorado,Michael Bennet,@SenBennetCO,,@BennetForCO,
Colorado,Cory Gardner,@SenCoryGardner,, @CoryGardner,
Connecticut,Christopher Murphy,@ChrisMurphyCT,,,
Connecticut,Richard Blumenthal,@SenBlumenthal,,@DickBlumenthal,
Delaware,Tom Carper,@SenatorCarper,@SenCarper_Press, @TomCarperforDE,
Delaware,Chris Coons,@ChrisCoons,@SenCoonsOffice,@coons4delaware,
Florida,Bill Nelson,@SenBillNelson,,@NelsonForSenate,
Florida,Marco Rubio,@marcorubio,@SenRubioPress,,
Georgia,Saxby Chambliss,@SaxbyChambliss,,,
Georgia,David Perdue, @SenDavidPerdue,,@Perduesenate,
Georgia,Johnny Isakson,@SenatorIsakson,, @JohnnyIsakson,
Hawaii,Brian Schatz,@brianschatz, @SenBrianSchatz, @SchatzforHawaii,
Hawaii,Mazie K. Hirono,@maziehirono,,@mazieforhawaii,
Idaho,Mike Crapo,@MikeCrapo,,@crapo4senate ,
Idaho,Jim Risch,@SenatorRisch,, @JimRisch,
Illinois,Tammy Duckworth,@SenDuckworth,@TammyforIL,TammyForIllinois
Illinois,Dick Durbin,@SenatorDurbin,,@DickDurbin,
Indiana,Joe Donnelly,@SenDonnelly ,,,
Indiana,Todd Young,@SenToddYoung,,@ToddYoungIN,ToddYoungIndiana
Iowa,Chuck Grassley,@ChuckGrassley,@GrassleyOffice,@GrassleyWorks,
Iowa,Joni Ernst,@joniernst,,,
Kansas,Pat Roberts,@SenPatRoberts,,@PatRoberts2014,
Kansas,Jerry Moran,@JerryMoran,,@moranforkansas,
Kentucky,Mitch McConnell, @SenateMajLdr,@McConnellPress,@Team_Mitch,
Kentucky,Rand Paul,@SenRandPaul,,@Team_Rand,
Louisiana,Bill Cassidy,@BillCassidy,,,
Louisiana,John Neely Kennedy,@SenJohnKennedy,,@JohnKennedyLA,
Maine,Angus King, @SenAngusKing,,@AngusKing2018,
Maine,Susan Collins,@SenatorCollins,,@collins4senator,
Maryland,Chris Van Hollen,@ChrisVanHollen,,@VanHollenForMD,VanHollenForMD
Maryland,Ben Cardin,@SenatorCardin,,@BenCardinforMD,
Massachusetts,Ed Markey,@senmarkey,,@EdMarkey,
Massachusetts,Elizabeth Warren,@SenWarren,,@elizabethforma,
Michigan,Gary Peters, @SenGaryPeters,, @Peters4Michigan,
Michigan,Debbie Stabenow,@SenStabenow,@stabenow,@TeamStabenow,
Minnesota,Amy Klobuchar,@amyklobuchar,,,
Minnesota,Al Franken,@SenFranken,, @alfranken,
Mississippi,Thad Cochran,@SenThadCochran,,,
Mississippi,Roger Wicker,@SenatorWicker,,@RogerWicker,
Missouri,Claire McCaskill,@clairecmc,@McCaskillOffice, @McCaskill2012,
Missouri,Roy Blunt,@RoyBlunt, @RoyBluntPress, @RoyBluntMO,
Montana,Steve Daines,@SteveDaines,,@DainesforMT,
