City,State,ID,Lat,Lon,Elev,WMO
Central,AK,PARL,65.57,-144.80,292,99999
Atka,AK,PAAK,52.22,-174.20,17,99999
Buckland,AK,PABL,65.99,-161.12,0,99999
Portage Glacier,AK,PATO,60.79,-148.83,29,99999
Nivalina,AK,PAVL,67.73,-164.55,3,70148
Golovin,AK,PAGL,64.55,-163.05,8,70199
Kaltag,AK,PAKV,64.32,-158.73,60,99999
Egegik,AK,PAII,58.42,-157.37,119,99999
Koyuk,AK,PAKK,64.95,-160.80,40,99999
Chandalar Lake,AK,PALR,67.50,-148.48,585,99999
Red Dog Mine,AK,PARD,68.03,-162.90,297,99999
Birchwood,AK,PABV,61.42,-149.52,29,99999
Adak NAS,AK,PADK,51.88,-176.65,4,70454
Noatak,AK,PAWN,67.57,-162.98,30,99999
Kodiak,AK,PADQ,57.75,-152.50,34,70350
Anchorage,AK,PANC,61.17,-150.02,40,70273
Annette Island,AK,PANT,55.03,-131.57,34,70398
Barrow,AK,PABR,71.30,-156.78,4,70026
Cold Bay,AK,PACD,55.20,-162.72,31,70316
Dillingham,AK,PADL,59.05,-158.52,29,70321
Fairbanks,AK,PAFA,64.82,-147.87,138,70261
Galbraith Lake,AK,PAGB,68.48,-149.48,814,70063
Homer,AK,PAHO,59.63,-151.50,22,70341
Juneau,AK,PAJN,58.37,-134.58,7,70381
McGrath,AK,PAMC,62.97,-155.62,103,70231
Mekoryuk,AK,PAMY,60.37,-166.27,15,99999
Kuparuk,AK,PAKU,70.32,-149.58,20,99999
Nome,AK,PAOM,64.50,-165.43,7,70200
Kotzebue,AK,PAOT,66.87,-162.63,5,70133
Saint Paul Island,AK,PASN,57.15,-170.22,9,70308
Seldovia,AK,PASO,59.44,-151.70,8,99999
Sheep Mountain,AK,PASP,61.82,-149.38,2959,99999
Talkeetna,AK,PATK,62.30,-150.10,109,70251
Unalakleet,AK,PAUN,63.88,-160.80,6,70207
Point Hope,AK,PAPO,68.35,-166.80,4,99999
Valdez,AK,PAVD,61.13,-146.35,10,70275
Yakutat,AK,PAYA,59.52,-139.67,9,70361
Ambler,AK,PAFM,67.10,-157.85,88,70171
King Salmon,AK,PAKN,58.68,-156.65,15,70326
Cape Lisburne,AK,PALU,68.88,-166.12,4,70104
Shemya AFB,AK,PASY,52.72,174.12,30,70414
Aniak,AK,PANI,61.58,-159.53,26,70232
Bettles,AK,PABT,66.92,-151.52,196,70174
Dutch Harbor,AK,PADU,53.88,-166.53,4,70489
Fort Yukon,AK,PFYU,66.57,-145.27,431,70194
Middleton Island,AK,PAMD,59.43,-146.33,14,70343
Port Heiden,AK,PAPH,56.95,-158.62,29,70333
Deadhorse,AK,PASC,70.20,-148.47,17,70063
Sitka,AK,PASI,57.07,-135.35,20,70371
Cantwell,AK,PATW,63.38,-148.95,668,99999
Arctic Village,AK,PARC,68.12,-145.58,636,99999
Big River Lakes,AK,PALV,60.82,-152.30,12,99999
Bethel,AK,PABE,60.78,-161.80,46,70219
Big Delta,AK,PABI,64.00,-145.73,388,70267
Barter Island,AK,PABA,70.13,-143.63,15,70086
Eagle,AK,PAEG,64.77,-141.15,268,99999
Metlakatla,AK,PAMM,55.08,-131.35,1,99999
Elfin Cove,AK,PAEL,58.20,-136.35,0,99999
Fairbanks Ft. Wainwright,AK,PAFB,64.84,-147.61,137,99999
Gulkana,AK,PAGK,62.15,-145.45,481,70271
Ketchikan,AK,PAKT,55.35,-131.70,29,70395
Mckinley Park,AK,PAIN,63.73,-148.92,524,99999
Minchumina,AK,PAMH,63.90,-152.27,214,70246
Northway,AK,PAOR,62.97,-141.93,525,70291
Petersburg,AK,PAPG,56.82,-132.97,0,70386
Puntilla Lake,AK,PAPT,62.10,-152.75,560,70249
Sand Point,AK,PASD,55.33,-160.50,7,99999
Seward,AK,PAWD,60.12,-149.45,18,70277
Skagway,AK,PAGY,59.47,-135.30,5,70362
Shishmaref,AK,PASH,66.27,-166.03,2,99999
Tanana,AK,PATA,65.17,-152.10,67,70178
Umiat,AK,PAUM,69.37,-152.13,85,70162
Port Alsworth,AK,PALJ,60.20,-154.30,81,99999
